Sample,height,mouth_diam,tube_diam,keel_diam,wing1_length,wing2_length,wingsprea,hoodarea,wingarea,tubearea
64,695,27.8,20.2,6.7,74,80,95,49.3,24.34,119.03
65,600,25.5,20,6.7,75,80,132,43.95,24.45,90.5
66,485,24.3,14.3,2.2,70,66,105,29.21,20.96,64.39
67,720,32.5,26.5,8.4,93,80,105,60.27,24.76,114.43
68,470,20.5,20.9,6.7,70,60,105,28.36,12.79,55.95
69,555,31.5,20.2,5.8,70,82,135,48.98,31.62,73.49
70,625,28.1,19.4,6.1,98,97,115,53.57,35.48,88.9
71,610,33.4,21.2,7,82,72,130,57.38,26.91,83.89
72,775,37.8,17.7,3,100,100,153,73.12,44.3,111.5
73,636,38.3,22.2,5,148,152,188,85.01,77.09,95.9
74,782,40.7,24,4.9,135,145,190,93.98,69.75,141.17
75,845,49.3,30,7.4,110,79,150,104.04,50.49,187.27
76,581,19.5,23.3,9.8,45,70,80,26.76,14.82,94.08
77,650,21.3,24.7,10.5,44,67,95,13.81,14.54,110.99
78,485,13.6,19.5,7.4,59,56,75,28.55,11.67,61.53
79,832,31,26.8,12.5,50,62,53,67.26,4.37,152.92
80,565,22.5,23.4,10,78,80,125,44.71,26.75,91.1
81,475,17.4,26.3,11.6,60,65,105,24.97,15.15,70.25
82,480,23.7,22.4,9.5,85,86,110,35.71,24.34,61.77
83,503,22.8,26.8,9.8,59,48,72,41.58,11.66,76.96
84,540,18.1,22.6,9.5,45,60,90,33.62,13.7,76.65
85,648,22.7,21.4,8.8,15,46,50,31.01,7.29,103.26
86,595,31.5,22.5,7.8,55,74,85,51.03,11.09,89.07
87,528,23.4,17.4,4.9,63,65,75,33.48,17.47,70.76
